1,453,68
2,678,108
3,556,168
4,461,205
5,836,234
6,708,349
7,423,414
8,502,437
9,627,419
10,821,435
11,899,457
12,948,426
13,460,484
14,573,470
15,654,470
16,761,468
17,190,526
18,215,560
19,259,526
20,320,501
21,551,519
22,602,543
23,630,536
24,659,537
25,734,566
26,404,608
27,530,581
28,624,598
29,730,618
30,870,636
31,229,638
32,283,630
33,251,686
34,345,660
35,405,679
36,664,642
37,569,688
38,693,711
39,282,726
40,446,715
41,550,756
42,614,767
43,675,774
44,754,768
45,313,781
46,331,817
47,461,830
48,611,930
49,725,916
50,948,703
